[0925/175137.141:INFO:CONSOLE(343)] "FTS:Delegate: start indexer", source: https://static.whatsapp.net/rsrc.php/v3/y1/r/3acTjp1w9lm.js?_nc_x=Ij3Wp8lg5Kz (343)
[0925/175137.142:INFO:CONSOLE(343)] "FTS:Delegate: start perform init", source: https://static.whatsapp.net/rsrc.php/v3/y1/r/3acTjp1w9lm.js?_nc_x=Ij3Wp8lg5Kz (343)
[0925/175137.142:INFO:CONSOLE(343)] "FTS:Delegate: schema versions ready", source: https://static.whatsapp.net/rsrc.php/v3/y1/r/3acTjp1w9lm.js?_nc_x=Ij3Wp8lg5Kz (343)
[0925/175137.143:INFO:CONSOLE(343)] "FTS:Delegate: before db initialization", source: https://static.whatsapp.net/rsrc.php/v3/y1/r/3acTjp1w9lm.js?_nc_x=Ij3Wp8lg5Kz (343)
[0925/175137.144:INFO:CONSOLE(343)] "[storage] applying schema versions from [0 to 8] for the database: 'fts-storage'", source: https://static.whatsapp.net/rsrc.php/v3/y1/r/3acTjp1w9lm.js?_nc_x=Ij3Wp8lg5Kz (343)
[0925/175137.307:INFO:CONSOLE(343)] "[storage] applying schema versions from [0 to 159] for the database: 'model-storage'", source: https://static.whatsapp.net/rsrc.php/v3/y1/r/3acTjp1w9lm.js?_nc_x=Ij3Wp8lg5Kz (343)
[0925/175158.501:INFO:CONSOLE(343)] "FTS:Delegate: after db initialization", source: https://static.whatsapp.net/rsrc.php/v3/y1/r/3acTjp1w9lm.js?_nc_x=Ij3Wp8lg5Kz (343)
[0925/175158.501:INFO:CONSOLE(343)] "FTS:Manifest Writer: No changes made, current:['3.1', '1'], latest:['3.1', '1']", source: https://static.whatsapp.net/rsrc.php/v3/y1/r/3acTjp1w9lm.js?_nc_x=Ij3Wp8lg5Kz (343)
[0925/175158.501:INFO:CONSOLE(343)] "FTS:Delegate: Inited", source: https://static.whatsapp.net/rsrc.php/v3/y1/r/3acTjp1w9lm.js?_nc_x=Ij3Wp8lg5Kz (343)
[0925/175158.501:INFO:CONSOLE(343)] "FTS:Delegate: Init indexing ops", source: https://static.whatsapp.net/rsrc.php/v3/y1/r/3acTjp1w9lm.js?_nc_x=Ij3Wp8lg5Kz (343)
[0925/175158.502:INFO:CONSOLE(343)] "FTS:Indexer:indexQueuedBatch: Starting new batch size : 1000", source: https://static.whatsapp.net/rsrc.php/v3/y1/r/3acTjp1w9lm.js?_nc_x=Ij3Wp8lg5Kz (343)
[0925/175158.503:INFO:CONSOLE(343)] "FTS:Indexer:indexQueuedBatch: Completed", source: https://static.whatsapp.net/rsrc.php/v3/y1/r/3acTjp1w9lm.js?_nc_x=Ij3Wp8lg5Kz (343)
[0925/175205.443:INFO:CONSOLE(343)] "FTS:Indexer:indexQueuedBatch: Starting new batch size : 1000", source: https://static.whatsapp.net/rsrc.php/v3/y1/r/3acTjp1w9lm.js?_nc_x=Ij3Wp8lg5Kz (343)
[0925/175205.704:INFO:CONSOLE(343)] "FTS:Indexer:indexQueuedBatch: Completed batch", source: https://static.whatsapp.net/rsrc.php/v3/y1/r/3acTjp1w9lm.js?_nc_x=Ij3Wp8lg5Kz (343)
[0925/175205.714:INFO:CONSOLE(343)] "FTS:Indexer:indexQueuedBatch: Completed", source: https://static.whatsapp.net/rsrc.php/v3/y1/r/3acTjp1w9lm.js?_nc_x=Ij3Wp8lg5Kz (343)
